primary_sta,secondary_sta,orbitNumber_primary,orbitDirection_primary,ascendingNodeDate_primary,startTimeFromAscendingNode_primary,completionTimeFromAscendingNode_primary,dataTakeID_primary,primaryImageSelectionInformation_secondary,normalBaseline_secondary,averageRangeCoregistrationShift_secondary,averageAzimuthCoregistrationShift_secondary,orbitNumber_secondary,orbitDirection_secondary,ascendingNodeDate_secondary,startTimeFromAscendingNode_secondary,completionTimeFromAscendingNode_secondary,dataTakeID_secondary,centerLat_secondary,centerLon_secondary,mean(|coh|),min(|coh|),max(|coh|),median(|coh|),frame,phaseCorrectionMode,date_primary,date_secondary
BIO_S1_STA__1S_20250614T043249_20250614T043310_C_G___M___C___T____F009_01_DGX3DY,BIO_S1_STA__1S_20250611T043249_20250611T043310_C_G___M___C___T____F009_01_DGX3EU,673,ASCENDING,2025-06-14T04:30:17.734Z,152130,172901,5510332,Geometry,-54.51991519528061,-15.73918308176873,125.18797245338234,629,ASCENDING,2025-06-14T04:30:17.734Z,152130,172901,5149884,9.332139,17.762218,0.8697414181373445,0.0016813108051757452,0.9999999999999999,0.8974234133527703,9,None,20250614T043249,20250611T043249
BIO_S1_STA__1S_20250614T043249_20250614T043310_C_G___M___C___T____F009_01_DGX3DY,BIO_S1_STA__1S_20250617T043248_20250617T043309_C_G___M___C___T____F009_01_DGX3F4,673,ASCENDING,2025-06-14T04:30:17.734Z,152130,172901,5510332,Geometry,-647.7733895981947,266.1492619526955,56.77458471605511,717,ASCENDING,2025-06-14T04:30:17.734Z,152130,172901,5870780,9.332139,17.762218,0.7624648512962272,0.00021908893720811056,0.9999999999999999,0.7839348887409738,9,None,20250614T043249,20250617T043248
BIO_S1_STA__1S_20250611T163859_20250611T163920_C_G___M___C___T____F132_01_DGX9US,BIO_S1_STA__1S_20250614T163859_20250614T163919_C_G___M___C___T____F132_01_DGX9TW,636,DESCENDING,2025-06-11T15:57:34.123Z,2485217,2505976,5212571,Geometry,78.83983970414681,-62.79615022186004,-4411.050538044453,680,DESCENDING,2025-06-11T15:57:34.123Z,2485217,2505976,5573019,26.5116,27.163885,0.3183105136768837,5.886064059209771e-05,0.9999999999999999,0.2527545380531937,132,None,20250611T163859,20250614T163859
BIO_S1_STA__1S_20250611T163859_20250611T163920_C_G___M___C___T____F132_01_DGX9US,BIO_S1_STA__1S_20250620T163900_20250620T163921_C_G___M___C___T____F132_01_DGX9TN,636,DESCENDING,2025-06-11T15:57:34.123Z,2485217,2505976,5212571,Geometry,-331.91249695689453,290.84238549254604,-10241.881532385969,768,DESCENDING,2025-06-11T15:57:34.123Z,2485217,2505976,6293915,26.5116,27.163885,0.31710678383881635,2.9839585514145442e-05,0.9999999999999999,0.2541842836197008,132,None,20250611T163859,20250620T163900
BIO_S1_STA__1S_20250611T164654_20250611T164715_C_G___M___C___T____F157_01_DGXB7Y,BIO_S1_STA__1S_20250614T164654_20250614T164714_C_G___M___C___T____F157_01_DGXB86,636,DESCENDING,2025-06-11T15:57:34.123Z,2960156,2980936,5213040,Geometry,56.41763442938503,-46.161990388430574,-443.8901422762464,680,DESCENDING,2025-06-11T15:57:34.123Z,2960156,2980936,5573488,-2.328155,20.474168,0.707159307846619,0.0004569782007730542,0.9999999999999999,0.7304802802744408,157,None,20250611T164654,20250614T164654
BIO_S1_STA__1S_20250611T164654_20250611T164715_C_G___M___C___T____F157_01_DGXB7Y,BIO_S1_STA__1S_20250623T164656_20250623T164717_C_G___M___C___T____F157_01_DGXB8E,636,DESCENDING,2025-06-11T15:57:34.123Z,2960156,2980936,5213040,Geometry,-1132.5239194305718,462.54898095962903,563.9541877786512,812,DESCENDING,2025-06-11T15:57:34.123Z,2960156,2980936,6654832,-2.328155,20.474168,0.34689253417582755,5.412410071491311e-05,0.9999999999999999,0.3328320933300965,157,None,20250611T164654,20250623T164656
BIO_S1_STA__1S_20250611T214621_20250611T214632_C_G___M___C___T____F172_01_DGR5Y7,BIO_S1_STA__1S_20250617T214620_20250617T214631_C_G___M___C___T____F172_01_DGR5XJ,639,DESCENDING,2025-06-11T20:52:06.729Z,3254687,3266222,5237931,Geometry,432.9873326713165,-68.803958249974,58.71525336085734,727,DESCENDING,2025-06-11T20:52:06.729Z,3254687,3266222,5958827,-19.953216,-56.84261,0.735418309835559,0.0005036798097886657,0.9999999999999999,0.7877098660894299,172,None,20250611T214621,20250617T214620
BIO_S1_STA__1S_20250611T214621_20250611T214632_C_G___M___C___T____F172_01_DGR5Y7,BIO_S1_STA__1S_20250623T214624_20250623T214635_C_G___M___C___T____F172_01_DGR5XO,639,DESCENDING,2025-06-11T20:52:06.729Z,3254687,3266222,5237931,Geometry,-1089.978497945356,463.4855853593515,318.2130196205739,815,DESCENDING,2025-06-11T20:52:06.729Z,3254687,3266222,6679723,-19.953216,-56.84261,0.5730198024162566,0.00023249779974310347,0.9999999999999999,0.6102518795922474,172,None,20250611T214621,20250623T214624
BIO_S1_STA__1S_20250612T032954_20250612T033015_C_G___M___C___T____F017_01_DGX05G,BIO_S1_STA__1S_20250618T032953_20250618T033014_C_G___M___C___T____F017_01_DGX04Y,643,ASCENDING,2025-06-12T03:24:50.606Z,303837,324601,5267699,Geometry,-335.75716750852376,146.86746212984107,152.6155681700891,731,ASCENDING,2025-06-12T03:24:50.606Z,303837,324601,5988595,18.546095,31.991936,0.528600803863002,0.00017020788167939162,0.9999999999999999,0.5394564469747958,17,None,20250612T032954,20250618T032953
BIO_S1_STA__1S_20250612T032954_20250612T033015_C_G___M___C___T____F017_01_DGX05G,BIO_S1_STA__1S_20250621T032955_20250621T033016_C_G___M___C___T____F017_01_DGX04P,643,ASCENDING,2025-06-12T03:24:50.606Z,303837,324601,5267699,Geometry,555.1720405371997,-244.03375479501105,-98.26612955515115,775,ASCENDING,2025-06-12T03:24:50.606Z,303837,324601,6349043,18.546095,31.991936,0.6586218415768881,0.00013649537433936787,0.9999999999999999,0.7021576143009628,17,None,20250612T032954,20250621T032955
